merge|one million|1 Million
replace|aibye|abiye
merge|abiye gömlek|abiye bluz
merge|gece kıyafeti,gece elbisesi,parti elbisesi,parti elbise|abiye elbise
replace|acedemia|academia
merge|adi das,adaidas,addas,adiidas,aadidas,adidass,addidas,asdidas,adidad,adidas gazalle,niteball,adi2000 ,adidas terex|adidas
replace|aero|aeropostale
replace|aganda|agenda
replace|antfiriz,antfris,antfiris,antifriz|antifiriz
replace|iphone xr ,iPhone xr 64 gb,iphone xr 64 gb|apple iphone xr
replace|applewatch|apple watch
replace|my way|armani my way
merge|si|armani parfüm
merge|atpco,atp.co,at.p.co|AT.P.CO
merge|kaşkol,erkek kaşkol|atkı
merge|spor atlet,sports top,tank,singlet,crop atlet,atlet,sports atlet,spor atleti|atlet
replace|ayakkabımodel,ayakkabımodelleri,ayyakkabı,ayyakkabi,ayalkabı,ayakabı,ayakabı,aykkabı,ayakkabısı,ayakkkabı,ayakkbı,aykkabi,ayskkabbı,ayyakbı,ayyakapı,ayyakabi,akkabı,ayakkabbı,ayyakabı|ayakkabı
replace|bg store,b&g store,b&g,b & g store,B&G store|b&g store
merge|baöbi|bambi
merge|baby,bebek kıyafet,bebek giyim|bebek
merge|erkek bebek ayakkabı|bebek ayakkabı
merge|prima,molfix,molfiks,molfixs,prima bebek,primabebek,molfixbebekbezi,molfix bebek bezi,prima bebek bezi|bebek bezi
merge|belçantası|bel çantası
merge|besiktaş forması,bjk,besiktas,beşiktaş kravat,kartal yuvası,kartalyuvası,beşiktaş futbol forması,beşiktaş futbol|beşiktaş
merge|bey men,beyman,beymen,by men,beymen plus,beyöen,beymen business,beymen businiss|beymen
merge|beymenclub,beymenklup|beymen club
replace|beymencüzdan|beymen cüzdan
merge|emilio guido|beymen erkek
merge|beymenkartlık|beymen kartlık
merge|beymensırtçantası|beymen sırt çantası
merge|biotherm|bioderma
merge|brikenstock,birikenstok,birikenstock|birkenstock
merge|blackpepper,blackpeper,black peper,black paper|black pepper
merge|el blender,bilendir,bilender,el bilendiri|blender
merge|blu|blue
merge|buluz,büluz,buliz,bulüz,bulız.bülüz|bluz
merge|babi brown,babibrown,bobibrown|bobbi brown
merge|Bobbi Brown|Bobi Brown
replace|boğazlıkazak|boğazlı kazak
replace|baksir,bokser,baxir,baksor,baxer,baxır,baksır|boxer
merge|bsl|bsl
merge|burberry hero,burbery hero,burrbery hero,burbary hero,burberry hiro|burberry hero
merge|büyük beden elbise,buyuk beden elbise,büyük beden abiye,buyuk beden abiye,abiye elbise büyük beden|büyük beden
merge|bulgari,bulvari|bvlgari
